user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,semantic_similarity,question_id
quells sont Indications thérapeutiques de clovir 200mg comp?,"['PRÉSEIffATiONS-,\n\n--\n\nCLOVIR est disponible en 200mg, comprimés,\n\n## Ceci est un médicament', ""## INDICATIONS:\n\nLe CLOVIR comprimé est indiqué dans le traitement des Infections à virus herpes simplex, infections virales cutanées et de la membrane muqueuse, incluant les primo-infections génitales à virus herpes simplex et des récurrences ultérieures. Prévention des infections à virus herpes simplex chez les sujets immunodéprimés et leurs recurrence. Le CLOVIR comprimé est aussi indiqué dans le traitement des infections aiguës de l'Herpes Zoster.\n\n## POSOLOGIE ET MODE D'ADMINISTRATION:"", ""800 mg de clovir doit être prise 5 fois par jour à des intervalles d'environ 4 heures.\n\nle traitement doit être poursuivi pendant 7 jours.\n\nChez les patients gravement immunodéprimés ou présentant une altération de t'absorption intestinale , il faut utiliser la forme intraveineuse.\n\nL'administration doit débuter le plutôt possible: le traitement de l'herpes Zoster donne de meilleurs résultats si il est administré des le début de l'éruption."", '## Indications thérapeutiques :\n\nLopress 100mg est préconisé principalement dans :', ""SUPERSTAT tO mg, BI30 et BI90 Compnmés pelhculés, N' de la DE: 15/06 M 269/001 SUPERSTAT 20 mg, BI30 et BI90 Compnmés pel icuIes, N de la DE. 15/06 M 270/00t\n\n## PRESCRIPTION\n\nUsle 1\n\n## CECIESTUN MEDICAMENT\n\n• Un médtcamentest un produu qui affectela santé.son edrmmstratcnsans aVtS médicalpeut être dangereuse\n\n· SuM8 stnc1ement la prescnpton médicaleet les instructionsdu pharmacien.\n\n, Le médedn et le pnarmacienconnaissentle médicament,ses bienfaitset ses nsques."", ""## POSOLOGIE ET MODE D'ADMINISTRATION:\n\nMode d'administration: voie orale\n\nClovir peut être dissous dans un minimum de 50 ml d'eau ou avalé avec un peu d'eau.\n\n## Posologie:\n\nTraitement de l'herpès simplex chez l'adulte:\n\n200mg de clovir 5 fois par jour à environ 4 heures d'intervalles, le traitement doit être poursuivi pendant 5 jours.""]","Ceci signifie que : CLOVIR 200mg, comprimés, est indiqué dans le traitement de divers types d'infections causées par les virus herpes simplex, y compris les infections cutanées, les infections de la membrane muqueuse, les primo-infections génitales et les récurrences ultérieures, ainsi que dans la prévention des infections à virus herpes simplex chez les personnes immunodéprimées. Il est également utilisé dans le traitement des infections aiguës de l'Herpes Zoster.","CLOVIR 200mg est indiqué dans le traitement de Herpes simplex (incluant les primo-infections génitales et les récurrences ultérieures), des infections virales cutanées et de la membrane muqueuse, dans la prévention des infections à virus Herpes simplex chez les sujets immunodéprimés , et dans le traitement de l'Herpes Zoster",1.0,0.7910322505582105,0.81666666664625,1.0,0.5588228770561617,0.9495772225103614,Q11
"Quels sont les médicaments à ne pas utiliser avec ENCOFLUIDE ADULTE 0,25g ?","[""raison de son dosage, ce médicament est réservé à l'adulte et à l'enfant de plus de 50 kg."", ""à\n\nl'enfant\n\nà\n\npartir de 50 kg (soit environ\n\n15 ans).\n\n•\n\nPour les enfants de moins de 50 kg (soit environ 15 ans) et pour les adultes de moins de 50 kg, ce dosage n'est pas adapté: prendre l'avis de votre mëdeon.\n\nDemandez conseil à votre médecin ou à votre pharmacien.\n\nSi la douleur persiste plus de 5 jours ou la fièvre ~ ou en cas d'efficacité insuffisante ou de survenue de tout autre signe, ne pas continuer le traitement sans l'avis de votre médecin."", ""Il est nécessaire de lutter contre la sécheresse de l'air ambiant (humidificateur...) pour éviter le dessèchement des sécrétions. Il est également recommandé de boire beaucoup. Chez la personne âgée ou le jeune enfant, l'incapacité à évacuer les crachats peut justifier l'aide d'un kinésithérapeute, sur prescription médicale.\n\n## Effets indésirables possibles du médicament PULMOFOR ®\n\nDouleurs d'estomac, nausées, diarrhée."", ""D'une façon générale, il  convient, au cours  de la grossesse  ou  de  l'allaitement de toujours  demander  l'avis de  votre  médecin  ou  de  votre pharmacien  avant  d'utiliser un médicament.\n\n## Vy  COMMENT  PRENDRE  CE  MEDICAMENT\n\n<!-- image -->\n\nADULTE:  La posologie usuelle est  de 1-1,5 ou 2  g/jour  en  2  à  3  prises."", ""## GRO ES E - ALLAlTBIE:\\T\n\nIl est préférable de ne pas utiliser ce médicament pendant la grossesse.\n\nSi vou découvrez que vous êtes enceinte pendant le traitement, consultez votre médecin car lui seul peut juger de la nécessité de le poursuivre.\n\nD'une façon générale. il convient, au cours de la grosses e et de l'allaitement de toujours demander avis à votre médecin ou à votre pharmacien avant de prendre un médicament.\n\n## COMMENT UTILISER CE MÉDICAMENT POSOLOGIE\n\nRÉSERVÉ À L'ADULTE"", ""* Ou 40 kg\n\n** Eviter les réinjections,\n\n*** Quel que soit le poids de l'enfant, ne pas administrer plus de 150 mg par injection.\n\n## Mode et voie d'administration\n\nVoie injectable (sauf voie IV)\n\n## Ne pas réutiliser un flacon entamé.\n\n## Fréquence d'administration\n\nLa fréquence et le moment auxquels ce médicament doit être administré sont strictement déterminées par le médecin anesthésiste.\n\nLa durée du traitement est strictement déterminée par le médecin anesthésiste.""]","Ceci signifie que :
- Aucun autre médicament n'est explicitement mentionné dans la notice comme contre-indiqué avec ENCOFLUIDE ADULTE 0,25g.
- Il est important de suivre les instructions du médecin anesthésiste concernant la fréquence, le moment et la durée d'administration du médicament.
- Il ne faut pas administrer plus de 150 mg par injection et ne pas réutiliser un flacon entamé.",Encofluide adulte ne doit pas etre utiliser avec les médicaments à effet antabuse et les psychotropes.,0.75,0.8809915766889347,0.49999999995,0.0,0.15369012043707825,0.614760481748313,Q12
Est-ce qu il existe un risque d'un surdosage de doliprane 300mg suppo ?,"[""- 6. INFORMATIONS SUPPLEMENTAIRES\n- 1. QU'EST-CE QUE DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose ET DANS QUELS CAS EST-IL UTILISE ?"", 'Si vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.\n\n- 5. COMMENT CONSERVER DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose ?\n\nTenir hors de la portée et de la vue des enfants.\n\nDate de péremption\n\nNe pas utiliser DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose après la date de péremption mentionnée sur la boîte.', 'Si vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.\n\n## 5. COMMENT CONSERVER DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose ?\n\nTenir hors de la portée et de la vue des enfants.\n\n## Date de péremption\n\nNe pas utiliser DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose après la date de péremption mentionnée sur la boîte.', ""Contre-indications\n\nNe prenez jamais DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose en cas de:\n\n- \uf0b7 allergie connue au paracétamol ou aux autres constituants,\n- \uf0b7 maladie grave du foie.\n\nEN CAS DE DOUTE, IL EST INDISPENSABLE DE DEMANDER L'AVIS DE VOTRE MEDECIN OU DE VOTRE PHARMACIEN.\n\nPrécautions d'emploi ; mises en garde spéciales\n\nFaites attention avec DOLIPRANE 100 mg, poudre pour solution buvable en sachetdose:\n\n## Mises en garde spéciales"", '## Dénomination du médicament\n\n## DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose\n\n## Encadré\n\nVeuillez lire attentivement cette notice avant de prendre ce médicament. Elle contient des informations importantes pour votre traitement.', ""## Contre-indications\n\nNe prenez jamais DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose en cas de:\n\n- · allergie connue au paracétamol ou aux autres constituants,\n- · maladie grave du foie.\n\nEN CAS DE DOUTE, IL EST INDISPENSABLE DE DEMANDER L'AVIS DE VOTRE MEDECIN OU DE VOTRE PHARMACIEN.\n\n## Précautions d'emploi ; mises en garde spéciales\n\nFaites attention avec DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose:\n\nMises en garde""]",Ceci signifie que : La notice fournie ne contient aucune information directe sur le surdosage de Doliprane 3,"Oui,Il existe un risque de surdosage avec DOUPRANE 300 mg, suppositoireIl existe un risque de surdosage avec DOUPRANE 300 mg, suppositoire, et en cas de surdosage, un traitement symptomatique est nécessaire..",0.0,0.0,0.16666666665,0.0,0.08788183880045897,0.35152735520183587,Q13
est ce que je peux utiliser doliprane 300mg suppo si j'ai une inflammation annale?,"[""- 6. INFORMATIONS SUPPLEMENTAIRES\n- 1. QU'EST-CE QUE DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose ET DANS QUELS CAS EST-IL UTILISE ?"", 'Si vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.\n\n- 5. COMMENT CONSERVER DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose ?\n\nTenir hors de la portée et de la vue des enfants.\n\nDate de péremption\n\nNe pas utiliser DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose après la date de péremption mentionnée sur la boîte.', 'Si vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.\n\n## 5. COMMENT CONSERVER DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose ?\n\nTenir hors de la portée et de la vue des enfants.\n\n## Date de péremption\n\nNe pas utiliser DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose après la date de péremption mentionnée sur la boîte.', ""Contre-indications\n\nNe prenez jamais DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose en cas de:\n\n- \uf0b7 allergie connue au paracétamol ou aux autres constituants,\n- \uf0b7 maladie grave du foie.\n\nEN CAS DE DOUTE, IL EST INDISPENSABLE DE DEMANDER L'AVIS DE VOTRE MEDECIN OU DE VOTRE PHARMACIEN.\n\nPrécautions d'emploi ; mises en garde spéciales\n\nFaites attention avec DOLIPRANE 100 mg, poudre pour solution buvable en sachetdose:\n\n## Mises en garde spéciales"", '## Dénomination du médicament\n\n## DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose\n\n## Encadré\n\nVeuillez lire attentivement cette notice avant de prendre ce médicament. Elle contient des informations importantes pour votre traitement.', ""## Contre-indications\n\nNe prenez jamais DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose en cas de:\n\n- · allergie connue au paracétamol ou aux autres constituants,\n- · maladie grave du foie.\n\nEN CAS DE DOUTE, IL EST INDISPENSABLE DE DEMANDER L'AVIS DE VOTRE MEDECIN OU DE VOTRE PHARMACIEN.\n\n## Précautions d'emploi ; mises en garde spéciales\n\nFaites attention avec DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose:\n\nMises en garde""]",Information non trouvée dans le contexte fourni. Veuillez consulter un professionnel de santé.,"Non, ce médicament ne doit pas être utilisé en cas d inflammation recente anale.",1.0,0.0,0.249999999975,1.0,0.08780003927456213,0.35120015709824853,Q14
Quels sont les cas à ne pas utiliser DEXOREN 0.25mg comp ,"['## La substance active est:\n\nOxcarbazépine ................................................................................................................................. 150 mg\n\nPour un comprimé pelliculé.\n\n## Les autres composants sont:', 'Comme tous les médicaments, HEMI-DAONIL 2,5 mg, comprimé sécable peut provoquer des effets indésirables, mais ils ne surviennent pas systématiquement chez tout le monde.', ""<!-- image -->\n\nGardez cette notice, vous pourriez avoir besoin de la lire à nouveau. Si vous avez d'autres questions, adressez-vous à votre médecin ou à votre pharmacien. Ce médicament vous a été personnellement prescrit. Ne le donnez à personne d'autre. Vous risqueriez de lui causer du tort. même si elle présente les mêmes symptômes que vous.\n\n## Lessubstances actives sont:\n\nDexaméthasone (phosphate sodique de)\n\n.\n\n.\n\nFramycétine (sulfate de)\n\n.\n\n.\n\n.\n\n100\n\nmg\n\n630000\n\nUI\n\npour\n\n100\n\nml\n\n."", "",\n\n## ,\n\noUJours pre re ce m lcamen exa emen comme ns c e no xe ou qu 1 YOUS a été rKommandé par YOtremédecin ou pharmacien. Encas de doute demander conseil à l'Otr&lt; médecin ou pharmacien.\n\nCha les .nf.nts. partir de 3 mois une dose individuelle de 5110 mg de paracétamol/kg du poids corporel doit être utilisée pour traiter la lièvre et les doulturs."", ""Qu'est-ce que CÉLESTÈNE2 mg et contenu de l'emballage extérieur? Ce médicament se présente sous forme de comprimé dispersible sécable. Boîte de 1 flacon de 20 comprimés.\n\nDétenteur de D.E.\n\n## MSDFRANCE\n\n34, avenue Léonard de Vinci\n\n92400 Courbevoie\n\nFrance\n\n## Fabricant, Conditionneur et Libérateur SCHERING-PLOUGH\n\n2 rue Louis Pasteur\n\n14200 Herouville Saint Clair\n\nFrance\n\nALGERIE D.E. N°: 1S/ 04/ 09 H 133/024. DATE DE REVISION DE LA NOTICE: JANVIER 2016 LISTE 1\n\nfJO;)\n\n,.;)\n\n\\....\n\n2,00 mg"", ""Sans objet.\n\n## Contre-indications\n\n## N'UTILISEZ JAMAIS DEXAFREE 1 mg/ml, collyre en solution en récipient unidose :""]","Ceci signifie que HEMI-DAONIL 2,5 mg, comprimé sécable ne doit pas être utilisé dans les cas suivants :
- Si vous êtes allergique à l'oxcarbazépine ou à l'un des autres composants du médicament.
- Lorsqu'il est associé aux médicaments vincristine et miltéfosine.",Ce médicament ne doit pas être utilisé dans les cas de certaines anomalies du fonctionnement cardiaque et en association avec le sultopride ou des injections intraveineuses de calcium.,0.3333333333333333,0.6869686213865186,0.3333333333,1.0,0.0949315024695093,0.3797260098780372,Q15
quels sont les Effets indésirables possibles de cital 50mg comp?,"['Si un des effets indésirables listés vous gêne considérablement ou si vous remarquez des effets indésirables non mentionnés sur cette notice ou, informez votre médecin ou votre pharmacien.\n\n## 5. COMMENT CONSERVER ANDROCUR 50 MG?\n\nMédicament à conserver hors de portée des enfants.', ""## Si vous arrêtez de prendre IMATINIB CIPLA 100 mg, gélule :\n\nSans objet.\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS ?\n\nComme tous les médicaments, ce médicament peut provoquer des effets indésirables, mais ils ne surviennent pas systématiquement chez tout le monde.\n\nCertains effets indésirables peuvent être graves. Prévenez immédiatement votre médecin si vous présentez l'un des effets suivants :"", ""Sans objet.\n\n## Risque de syndrome de sevrage\n\nSi vous avez d'autres questions sur l'utilisation de ce médicament, demandez plus d'informations à votre médecin ou à votre pharmacien.\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS ?\n\n## Description des effets indésirables\n\nComme tous les médicaments, TRACRIUM 50 mg/5 ml (1 POUR CENT), solution injectable en ampoule est susceptible d'avoir des effets indésirables, bien que tout le monde n'y soit pas sujet."", ""Si vous avez d'autres questions sur l'utilisation de ce médicament, demandez plus d'informations à votre médecin ou à votre pharmacien.\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS ?\n\n## Description des effets indésirables\n\nComme tous les médicaments, TIENAM 500 mg/500 mg poudre pour solution pour perfusion peut provoquer des effets indésirables, mais ils ne surviennent pas systématiquement chez tout le monde."", ""Si vous avez d'autres questions sur l'utilisation de ce médicament, demandez plus d'informations à votre médecin ou à votre pharmacien.\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS ?\n\n## Description des effets indésirables\n\nComme tous les médicaments LESCOL L.P. 80 mg, comprimé pelliculé à libération prolongée peut provoquer des effets indésirables, mais ils ne surviennent pas systématiquement chez tout le monde."", ""## Description des effets indésirables\n\nComme tous les médicaments, RELPAX 40 mg, comprimé pelliculé est susceptible d'avoir des effets indésirables, bien que tout le monde n'y soit pas sujet.\n\nSi vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.""]","Ceci signifie que CITAL 50 mg comp peut avoir des effets indésirables, bien que tout le monde n'en fasse pas l'expérience. Si vous remarquez des effets indésirables qui ne sont pas listés dans la notice ou si certains effets indésirables s'aggravent, vous devriez en informer votre médecin ou votre pharmacien.","Les effets indésirables possibles de CITAL 50mg comprimé incluent : troubles de la vision ; bouffées de chaleur, maux de tête, étourdissement, vertiges ; troubles digestifs ; règles plus abondantes, saignement entre les règles ; nervosité, insomnie, état dépressif ; envie d'uriner fréquente ; réaction allergique cutanée ; et augmentation de la probabilité d'une grossesse multiple.",0.5,0.9750512235625172,0.7099999999858001,1.0,0.481585668261553,0.7263426730462121,Q16
Quels sont les signes d'un surdosage du médicament DEXOREN 0.25mg comp ?,"[""## Posologie usuelle :\n\nTraitement d'attaque : une forte dose est parfois prescrite par le médecin pendant quelques jours, sous surveillance médicale.\n\nTraitement d'entretien : la posologie est adaptée par le médecin en fonction de l'effet recherché ; une analyse de sang permet de connaître la concentration du médicament dans le sang : en effet, le risque de surdosage est important.\n\n## Effets indésirables possibles du médicament DEXOREN ®\n\nIls sont le plus souvent le signe d'un surdosage :"", ""## CONDUITE A TENIR EN CAS DE SURDOSAGE\n\nEncas de surdosage avertir immédiatement votre médecin. Less p ô es d'un surdosage (pour des doses allant ju'qu'à 20 g) sont nausees, vomissements, diarrhées, vertiges et dans un cas, ombalgies avec oligurie,\n\nL'aüopurinol et son métabolite sont dialysables.\n\nD'une façon générale, il est recommandé de demander l'avis de votre médecin ou de votre pharmacien en cas\n\nde doute et de signaler tout traitement en cours ou tout\n\neffet non\n\nsouhai\n\né e gênant"", ""Ne jetez aucun médicament au tout-à-l'égout ni avec les ordures ménagères. Demandez à votre pharmacien d'éliminer les médicaments que vous n'utilisez plus. Ces mesures contribueront à protéger l'environnement.\n\n## 6. INFORMATIONS SUPPLEMENTAIRES\n\n## Liste complète des substances actives et des excipients\n\n## Aspect de DEXAFREE 1 mg/ml, collyre en solution en récipient unidose ?\n\n## La substance active est:"", ""<!-- image -->\n\n## Digitalique\n\n## Dans quel cas le médicament DEXOREN ® est-il prescrit ?\n\nCe médicament aux propriétés multiples appartient à la famille des digitaliques : il agit sur le cœur en permettant essentiellement d'en renforcer les contractions et de ralentir son rythme lorsqu'il est excessif.\n\nIl est utilisé dans le traitement de l' insuffisance cardiaque et de certaines tachycardies.\n\n## Présentations du médicament DEXOREN ®\n\nDEXOREN ® 0,25 mg\n\n: comprimé sécable ; boîte de 20"", ""Sans objet.\n\n## Contre-indications\n\n## N'UTILISEZ JAMAIS DEXAFREE 1 mg/ml, collyre en solution en récipient unidose :"", ""## Prise d'autres médicaments\n\nIl est important d'indiquer à votre médecin ou à votre pharmacien si vous prenez ou avez pris récemment un autre médicament, même s'il s'agit d'un médicament obtenu sans ordonnance. Cela inclut les préparations à base de plantes. Ceci parce que RENITEC 20 mg, comprimé sécable peut agir sur le mécanisme d'action de certains médicaments. Les autres médicaments peuvent également modifier le mécanisme d'action de RENITEC 20 mg, comprimé sécable.""]","Ceci signifie que : les signes d'un surdosage du médicament DEXOREN 0.25mg comprimé sont des nausées, vomissements, diarrhées, vertiges et dans certains cas, douleurs aux reins avec peu d'urine.","Les effets indésirables sont le plus souvent le signe d un surdosage : nausées, vomissements, diarrhée, perte de l appétit, coloration en jaune de la vision, vertiges, maux de tête, troubles psychiques (notamment chez la personne âgée), troubles du rythme cardiaque variés, palpitations.",0.2,0.9730002949232816,0.6666666666444444,1.0,0.6386481974641927,0.3727746080385888,Q17
Est-ce que je peux prendre le médicament ipnodis 5mg ml sol inj si j'si des troubles respiratoires?,"[""## EN CAS DE DOUTE NE PAS HESITER A DEMANDER L'AVIS DE VOTRE MEDECIN OU DE VOTRE PHARMACIEN.\n\n## Interactions avec d'autres médicaments\n\n## Autres médicaments et GARDENAL 40 mg/2 ml, poudre et solvant pour solution injectable\n\nVous devez prévenir votre médecin si vous prenez l'un des médicaments suivants :"", ""Demandez à votre médecin ou votre pharmacien plus d'informations sur les effets indésirables.\n\nSi vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.\n\n## 5. COMMENT CONSERVER SINGULAIR 5 mg, comprimé à croquer ?\n\nTenir hors de la portée et de la vue des enfants.\n\n## Date de péremption"", ""## Durée  du  traitement\n\nN'arrêtez pas la prise de PAKEDAL sans l'avis  de votre médecin. L'interruption de votre traitement devra étre réalisée de maniére progressive. Si vous arrétez de prendre PAKEDAL  brutalement ou  avant que  votre médecin  ne  vous  l'ait demandé, vous vous exposez à un risque accru de crises.\n\n## CONTRE  INDICATIONS:\n\nNe  prenez  jamais PAKEDAL  200  mg/ml,  solution  buvable:"", ""## Risque de syndrome de sevrage\n\n## Si vous arrêtez de prendre RISPERDAL 1 mg/ml, solution buvable:\n\nVous ne devez pas arrêter de prendre ce médicament sans que votre médecin vous ait dit de le faire. Vos symptômes peuvent réapparaître. Si votre médecin décide d'arrêter ce médicament, votre posologie pourra être progressivement diminuée sur plusieurs jours.\n\nSi vous avez d'autres questions sur l'utilisation de ce médicament, demandez plus d'informations à votre médecin ou à votre pharmacien."", ""Dans ce cas, l'administration du produit sera arrêtée, et vous recevrez de votre médecin un traitement approprié.\n\n## Si vous oubliez d'utiliser RAPIFEN 5 mg (0,5 mg/ml), solution injectable\n\nSans objet.\n\n## Si vous arrêtez d'utiliser RAPIFEN 5 mg (0,5 mg/ml), solution injectable\n\nSans objet.\n\nSi vous avez d'autres questions sur l'utilisation de ce médicament, demandez plus d'informations à votre médecin ou à votre pharmacien.\n\n## 4. QUELS SONT LES EFFETS INDESIRABLES EVENTUELS ?"", ""En signalant les effets indésirables, vous contribuez à fournir davantage d'informations sur la sécurité du médicament.\n\n## 5. COMMENT CONSERVER RAPIFEN 5 mg (0,5 mg/ml), solution injectable ?\n\nTenir ce médicament hors de la vue et de la portée des enfants.\n\nN'utilisez pas ce médicament après la date de péremption indiquée sur la boite après EXP. La date de péremption fait référence au dernier jour de ce mois.\n\nAprès ouverture : le produit doit être utilisé immédiatement.""]","Ceci signifie que : Aucune information spécifique concernant les troubles respiratoires et l'utilisation de GARDENAL 40 mg/2 ml, poudre et solvant pour solution injectable n'a été fournie dans le contexte.",vous devez informer le medecin avant de prendre Ipnodis si vous avez des difficultés respiratoires,0.0,0.0,0.4499999999775,1.0,0.08172281402100201,0.32689125608400804,Q18
"est-il possible de prendre Cerazette 0,75 mg comp durant la grossesse ?","['- 2. QUELLES SONT LES INFORMATIONS A CONNAITRE AVANT DE PRENDRE TAREG 80 mg, comprimé pelliculé ?', ""- · Si vous avez plus de 12 heures de retard pour la prise d'un comprimé, la fiabilité de Cerazette peut se trouver diminuée. Plus vous avez oublié de comprimés consécutifs, plus important est le risque de réduction de l'efficacité contraceptive. Prenez le dernier comprimé oublié dès que vous vous en rendez compte et continuez à prendre les comprimés suivants au moment habituel. Utilisez également une méthode contraceptive supplémentaire (méthode de barrière) pendant les 7 jours suivants de la"", ""- · Si vous avez plus de 12 heures de retard pour la prise d'un comprimé, la fiabilité de Cerazette peut se trouver diminuée. Plus vous avez oublié de comprimés consécutifs, plus important est le risque de réduction de l'efficacité contraceptive. Prenez le dernier comprimé oublié dès que vous vous en rendez compte et continuez à prendre les comprimés suivants au moment habituel. Utilisez également une méthode contraceptive supplémentaire (méthode de barrière) pendant les 7 jours suivants de la"", ""## Chez l'homme:\n\nSivous avez oublié de prendre les comprimés dans les temps, continuer tout de même la thérapie en omettant les comprimés oubliés conformément aux instructions. Ne pas prendre de double dose d'Androcur 50 mg pour rattraper des comprimés oubliés.\n\n## Si vous interrompez la prise d'Androcur 50 mg:"", '- 2. QUELLES SONT LES INFORMATIONS A CONNAITRE AVANT DE PRENDRE LESCOL L.P. 80 mg, comprimé pelliculé à libération prolongée ?', ""## Si vous avez pris plus de Cerazette que vous n'auriez dû\n\nSi vous avez pris trop de Cerazette, prenez immédiatement contact avec votre médecin ou votre phanmacien. Il n'y a pas eu de rapports d'effets néfastes sérieux suite à la prise d'un trop grand nombre de comprimés de Cerazette en une fois. Les symptômes qui peuvent apparaître sont des nausées, des vomissements et, chez les jeunes filles, des saignements vaginaux légers. Demandez l'avis de votre médecin.""]",Ceci signifie que : Aucune information directe sur la prise de Cerazette durant la grossesse dans le contexte fourni.,Il est déconseillé de prendre Cerazette pendant la grossesse,0.5,0.0,0.16666666665,0.0,0.17334440387224803,0.6933776154889921,Q19
quels sont les effects indesirables du maalox maux destomac?,"[""Sivous remarquez des eftets indésorables non mentionnés dans cette notice, ou si certains effets indësirebles deviennent graves, veuillez en informer votre médecin ou votre pharmacien .\n\n## -.;5'-', COMMENTCONSERVER MAALOX',suspension buvable en flacon? erur hors de la portee et de la vue des enfants. -----\n\nDate de péremption\n\nNe pas utiliser\n\nMAALOX',suspension buvable en flacon après la date de péremption\n\nmentionnée sur\n\nle conditionnement\n\nextérieur."", ""1.QU'ESHE QUEMAALOX',suspension buvable en flacon ETDANSQUELSCAS ..fSUi UTtLlSE? \\_ \\_\\_\n\ntndications tlWrapeutiques: Ce médicament est indiqué chez l'adulte (à partir de 15 ans) dans les brûlures d'estomac et remontées acides.\n\n## 2. QUEUESSONTLESINFORMATIONS ACONNAITREAVANTDEPRENDRE\n\n## MAALOX',suspension buvable en flacon?\n\nListe des informations nécessaires avant la prise du médicament"", ""l'effet d'Androcur 50 mg utilisé pour réduire les pulsions sexuelles peut être diminué en cas de consommation simultanée d'alcool en raison de l'effet désinhibiteur de l'alcool.\n\nAvant le début du traitement chez la femm amen médical gynécologique approfondi (comprenant un examen mammaire et un ro e l'utérus) doit être pratiqué et une grossesse doit impérativement être exclue."", ""## Attention\n\nEn cas d'urticaire ou de troubles nerveux, prévenez votre médecin avant de poursuivre le traitement.\n\nDes précautions sont nécessaires chez les personnes ayant des antécédents d'anomalie de la numération formule sanguine.\n\nÉvitez l'absorption de boissons alcoolisées ou de médicaments contenant de l'alcool pendant le traitement : risque d'effet antabuse.\n\nLa suspension buvable contient du sucre (saccharose) en quantité notable."", ""- · Ce  médicament  ne  pourra  généralement  pas  vous  être  administré  si  vous  consommez  des  boissons alcoolisées,  si  vous  prenez  des  médicaments  contenant  de  l'alcool,  ou  si  vous  prenez  du  crizotinib  ou  de l'idélalisib  (médicaments  anticancéreux),  ou  de  l'oxybate  de  sodium  (voir  rubrique  «  Autres  médicaments  et SUFENTA 10 microgrammes/2 ml, solution injectable (I.V. ou péridurale) »)."", ""Des irritations et une sécheresse de la peau, en cas d'applications fréquentes (en raison de la présence d'alcool). Dans tous ces cas, avertir votre médecin.\n\nSi vous remarquez des effets indésirables non mentionnés dans cette notice, ou si certains effets indésirables deviennent graves, veuillez en informer votre médecin ou votre pharmacien.\n\n## SURDOSAGE:\n\nSi vous avez pris plus de KETUM~ 2,5 %, gel que vous n'auriez dû:""]","Ceci signifie que MAALOX, suspension buvable en flacon est un médicament destiné aux adultes souffrant de brûlures d'estomac et de remontées acides, et sa formulation contient une quantité notable de sucre.","Les effets indésirables possibles de Maalox incluent : troubles digestifs comme la diarrhées ou la constipation et, en cas d'utilisation prolongée ou à fortes doses, une diminution du taux de phosphore dans le sang. ",1.0,0.5759402963785335,0.499999999975,1.0,0.15373636369221225,0.614945454768849,Q20
